city,county,lat,lon,province,staID,staName,type
吴忠,利通区,37.9956,106.1856,宁夏,2679A,新区二泵站,B
中卫,沙坡头区,37.5002,105.1971,宁夏,2682A,环保局站,B
固原,原州区,36.0022,106.2792,宁夏,2684A,监测站,B
固原,原州区,36.0211,106.2375,宁夏,2685A,新区,B
吐鲁番,高昌区,42.9559,89.1673,新疆,2687A,地区环保局,B
哈密,伊州区,42.8172,93.5128,新疆,2688A,地区监测站,B
昌吉州,昌吉市,44.0297,87.2717,新疆,2692A,新区政务中心,B
博尔塔拉州,博乐市,44.8969,82.0806,新疆,2694A,市环保局,B
阿克苏地区,阿克苏市,41.1694,80.292,新疆,2695A,电视台,B
克孜勒苏州,阿图什市,39.7142,76.1454,新疆,2697A,市人民政府,B
喀什地区,喀什市,39.4467,76.0072,新疆,2698A,巡警大队,B
喀什地区,喀什市,39.4694,75.9755,新疆,2699A,吾办,B
伊犁州,伊宁市,43.9174,81.2996,新疆,2704A,新政府片区,B
伊犁州,伊宁市,43.941,81.3364,新疆,2705A,第二水厂,B
塔城地区,塔城市,46.7432,82.9994,新疆,2706A,东门外小游园,B
阿勒泰地区,阿勒泰市,47.8517,88.1264,新疆,2708A,市站,B
石河子,石河子市,44.3075,86.0697,新疆,2710A,阳光学校,B
五家渠,五家渠市,44.1756,87.5475,新疆,2711A,农水大厦,B
攀枝花,东区,26.567,101.7227,四川,2835A,四十中小,B
长治,潞州区,36.1911,113.1569,山西,2845A,德盛苑,B
广州,天河区,23.1322,113.3221,广东,2846A,体育西,B
天津,滨海新区,39.2474,117.7918,天津,2858A,河西一经路(启用150702),B
天津,津南区,38.9846,117.3747,天津,2859A,津沽路(启用150702),B
天津,南开区,39.0845,117.1589,天津,2860A,宾水西道(启用150702),B
石家庄,长安区,38.0378,114.5481,河北,2862A,22中南校区(启用150703),B
晋中,榆次区,37.6828,112.7195,山西,2865A,榆次三中,B
吉林,九站经济技术开发区,43.953,126.4739,吉林,2868A,九站,B
扬州,广陵区,32.4155,119.447,江苏,2869A,五台山医院(启用161107),B
镇江,润州区,32.1873,119.4424,江苏,2870A,市疾控中心,B
宁波,鄞州区,29.9017,121.6147,浙江,2871A,万里国际学校,B
嘉兴,南湖区,30.7525,120.7846,浙江,2872A,南湖区残联,B
湖州,吴兴区,30.8955,120.0875,浙江,2873A,仁皇山新区(启用150915),B
阜阳,颍州区,32.8892,115.784,安徽,2875A,阜阳职业技术学院,B
潍坊,坊子区,36.6523,119.1641,山东,2877A,坊子邮政,B
聊城,东昌府区,36.4343,116.0072,山东,2878A,聊大东校,B
成都,青羊区,30.6558,104.0219,四川,2880A,大石西路,B
黔东南州,凯里市,26.5311,107.8908,贵州,2881A,凯里学院,B
玉溪,红塔区,24.3703,102.5389,云南,2882A,玉溪一中(启用161222),B
嘉峪关,市区,39.7978,98.2672,甘肃,2884A,酒钢宾馆,B
陇南,武都区,33.3826,104.9339,甘肃,2885A,滨江中学,B
淮南,大通区,32.6531,117.0566,安徽,2894A,经济技术开发区消防队,B
沈阳,铁西区,41.7347,123.2444,辽宁,2897A,沈辽西路,B
沈阳,沈北新区,41.9086,123.5953,辽宁,2900A,裕农路,B
广安,广安区,30.4865,106.6351,四川,2902A,北辰小学(启用160101),B
巴中,巴州区,31.8794,106.7677,四川,2914A,苏山坪(对照点),B
廊坊,广阳区,39.5453,116.7022,河北,2919A,河北工业大学(启用160601),B
绍兴,越城区,30.0003,120.5483,浙江,2921A,树下王站(启用160701),B
天津,和平区,39.1067,117.1941,天津,2922A,大理道(启用160601),B
银川,金凤区,38.4418,106.2266,宁夏,2924A,水乡路(启用160615),B
银川,兴庆区,38.4842,106.2757,宁夏,2925A,上海东路(启用160703),B
银川,西夏区,38.497,106.1015,宁夏,2926A,文昌北街(启用160703),B
黄冈,黄州区,30.4519,114.8858,湖北,2929A,红卫路(启用161109),B
宿迁,宿城区,33.965,118.283,江苏,2996A,市供电局(启用161107),B
泰州,高港区,32.3289,119.8767,江苏,2997A,王营(启用161024),B
连云港,连云区,34.6972,119.3581,江苏,3000A,德源药业(启用161021),B
常州,新北区,31.8174,119.9805,江苏,3002A,行政中心(启用161026),B
常州,武进区,31.7748,120.0522,江苏,3003A,经开区(启用161026),B
盐城,亭湖区,33.3663,120.1544,江苏,3004A,宝龙广场(启用161025),B
徐州,鼓楼区,34.29,117.1814,江苏,3005A,鼓楼区政府(启用161026),B
徐州,铜山区,34.1781,117.1694,江苏,3006A,铜山区招生办(启用161026),B
连云港,赣榆区,34.844,119.178,江苏,3007A,新城一中(新增200108),B
连云港,连云区,34.7519,119.3608,江苏,3008A,胡沟管理处(启用161021),B
连云港,海州区,34.5911,119.1478,江苏,3009A,矿山设计院(启用161021),B
常州,钟楼区,31.7964,119.9025,江苏,3010A,钟楼(启用161026),B
荆门,东宝区,31.0362,112.1849,湖北,3012A,西山林语,B
重庆,九龙坡区,29.5346,106.4958,重庆,3014A,歇台子(启用161118),B
重庆,沙坪坝区,29.5728,106.4037,重庆,3015A,龙井湾(启用161118),B
重庆,巴南区,29.4153,106.5507,重庆,3016A,龙洲湾(启用161119),B
临汾,尧都区,36.1014,111.505,山西,3018A,唐尧大酒店(启用161122),B
濮阳,经开区,35.7668,115.0,河南,3021A,濮水河管理处(启用161121),B
清远,清城区,23.6344,113.0477,广东,3025A,技师学院(启用161222),B
自贡,贡井区,29.3427,104.72,四川,3027A,青杠林路(启用170114),B
自贡,自流井区,29.3627,104.776,四川,3028A,檀木林体育馆(启用170304),B
乌鲁木齐,乌鲁木齐县,43.4569,87.4651,新疆,3033A,培训基地(启用170210),B
